기간,조업일수,수출 건수,수출 중량,수출 금액,수입 건수,수입 중량,수입 금액,무역수지
총계,7139.5,201838410,4283155221.9,12143257143,476264344,13050037362.3,11242208070,901049073
2000-01,23.0,258896,8841745.6,12162425,246432,32753101.4,12594623,-432198
2000-02,21.5,256293,8991378.9,12676042,242907,29527955.6,12023652,652390
2000-03,24.0,313910,9032500.9,14429703,293016,31226617.5,14212011,217692
2000-04,21.5,293464,9043835.3,13522040,268239,30912342.9,13344532,177508
2000-05,22.0,315342,8998222.1,14636755,283452,30074461.8,13283356,1353399
2000-06,23.0,322194,9729362.0,15250940,278240,28509045.6,13177511,2073428
2000-07,22.5,310467,8907311.8,14455656,280739,28885388.1,13671876,783780
2000-08,24.0,299915,9412503.3,14786880,283264,28859641.0,13441139,1345741
2000-09,20.5,300684,8847646.4,15133379,269509,27729546.5,13291803,1841577
2000-10,23.0,318444,8929384.9,15248068,292180,28738894.4,14104212,1143855
2000-11,24.0,315351,9164278.8,14989068,288458,30200866.3,14160418,828650
2000-12,22.5,300841,9999473.4,14976555,275778,28860243.8,13175885,1800670
2001-01,21.0,234821,9638779.6,12644929,233344,30480335.7,12431023,213906
2001-02,22.0,284932,9079994.6,13354074,245497,33554874.2,12732258,621816
2001-03,23.5,317574,9723624.5,14124891,278842,33014588.2,12951886,1173005
2001-04,22.0,295774,9002850.0,12121110,265093,26728669.5,11212192,908918
2001-05,23.5,313861,10287367.4,13306959,277514,29387384.5,11554834,1752125
2001-06,22.5,311870,8598649.5,12931941,271963,31706286.2,11718966,1212975
2001-07,23.0,300533,8589721.8,11392257,274191,28262570.4,11107564,284693
2001-08,24.0,299381,8820622.9,11766192,273851,29436642.4,11337826,428366
2001-09,22.5,322033,8198115.9,12447324,275563,30130757.3,11709659,737665
2001-10,22.0,299484,8370653.3,12086028,293412,28638733.5,11506884,579144
2001-11,24.0,325647,8464585.9,12348967,302409,31126771.9,11532771,816196
2001-12,22.5,297896,8632961.5,11914472,293607,30743776.5,11301958,612514
2002-01,24.0,291034,8150811.8,11381879,285615,31833895.9,11326430,55450
2002-02,19.0,268401,7338876.5,11023037,258175,30999344.9,10471161,551875
2002-03,22.5,333218,8431862.5,13251323,313029,31275473.4,11990097,1261226
2002-04,23.0,339477,8188574.6,13184534,331168,31629100.0,12559696,624838
2002-05,24.0,363841,8685845.2,14173177,332749,31959121.4,12698101,1475075
2002-06,21.5,337363,8195818.0,12894088,304697,27463316.5,11934221,959867
2002-07,24.0,357760,8376350.3,13395179,324984,30609258.1,13031773,363406
2002-08,23.5,336057,8937523.6,13959110,315194,29302569.1,12860751,1098359
2002-09,21.5,326611,7910465.4,13900763,315391,30284220.2,12991557,909207
2002-10,24.0,376342,8155566.8,15084659,347337,31339808.8,13817061,1267597
