Date,Price,Open,High,Low,Vol.,Change %
12/10/1996,702.83,693.42,702.83,693.42,23.97M,1.54%
12/09/1996,692.17,701.22,707.52,692.15,24.20M,-0.57%
12/07/1996,696.11,700.05,704.8,696.11,14.15M,-0.54%
12/06/1996,699.89,705.57,713.25,698.12,23.94M,-0.91%
12/05/1996,706.3,713.96,714.31,705.96,25.57M,-1.34%
12/04/1996,715.87,725.72,728.14,713.59,27.73M,-1.34%
12/03/1996,725.59,726.82,732.22,722.18,27.01M,-0.31%
12/02/1996,727.83,724.75,735.15,724.75,23.47M,0.19%
11/30/1996,726.48,732.03,733.36,726.25,14.15M,-0.96%
11/29/1996,733.5,737.71,738.89,732.25,22.83M,-0.46%
11/28/1996,736.92,723.97,736.97,723.97,24.95M,1.98%
11/27/1996,722.62,716.51,727.75,716.51,19.89M,0.93%
11/26/1996,715.97,711.4,721.37,710.49,16.84M,-0.07%
11/25/1996,716.45,728.4,729.16,716.45,15.19M,-2.05%
11/22/1996,731.44,744.51,744.51,730.1,24.23M,-1.81%
11/21/1996,744.91,743.65,750,743.36,23.89M,0.10%
11/20/1996,744.14,746.74,750.18,742.1,25.14M,-0.39%
11/19/1996,747.05,750.25,754.71,747.04,19.13M,-0.50%
11/18/1996,750.82,755.88,759.08,746.97,22.48M,-0.77%
11/16/1996,756.67,750.99,757.33,750.99,16.70M,0.85%
11/15/1996,750.29,742.44,752.03,741.64,22.97M,0.98%
11/14/1996,743.03,746.53,749.49,743.02,21.13M,-0.57%
11/13/1996,747.32,753.05,757.72,743.71,23.19M,-0.69%
11/12/1996,752.54,729.52,752.65,729.52,28.09M,3.15%
11/11/1996,729.53,730.42,730.42,720.01,21.81M,-0.18%
11/09/1996,730.82,738,745.59,729.41,17.13M,-1.12%
11/08/1996,739.11,740.82,756.07,739.11,26.00M,-0.36%
11/07/1996,741.76,748.68,752.2,738.26,37.68M,-0.74%
11/06/1996,747.29,733.6,747.29,733.6,31.68M,1.86%
11/05/1996,733.65,744.63,744.63,726.14,32.85M,-1.84%
11/04/1996,747.42,765.77,765.77,747.41,30.65M,-2.39%
11/02/1996,765.73,769.77,774.51,765.73,21.53M,-0.28%
11/01/1996,767.87,757.79,767.96,757.79,29.18M,1.36%
10/31/1996,757.59,757.38,763.52,751.43,28.49M,0.07%
10/30/1996,757.09,766.03,771.7,752.76,24.49M,-1.20%
10/29/1996,766.32,778.97,779.01,766.32,25.49M,-1.76%
10/28/1996,780.08,791.41,794.59,780.08,26.19M,-1.48%
10/26/1996,791.81,793.32,794.76,788.12,17.93M,-0.25%
10/25/1996,793.78,804.99,804.99,789.62,26.72M,-1.33%
10/24/1996,804.44,811.27,813.84,804.42,23.83M,-0.93%
10/23/1996,811.98,818.3,819.47,811.15,26.65M,-0.88%
10/22/1996,819.22,831.96,831.96,818.28,26.06M,-1.61%
10/21/1996,832.62,830.43,844.51,829.51,34.72M,0.17%
10/19/1996,831.18,830.14,831.97,821.72,25.43M,0.11%
