Date,Price,Open,High,Low,Vol.,Change %
11/28/2003,"1,202.00","1,203.55","1,205.55","1,202.05",,-0.08%
11/27/2003,"1,203.00","1,201.50","1,204.60","1,200.50",,0.08%
11/26/2003,"1,202.00","1,203.50","1,205.40","1,201.75",,-0.07%
11/25/2003,"1,202.80","1,203.50","1,205.90","1,202.05",,0.07%
11/24/2003,"1,202.00","1,194.35","1,206.00","1,194.35",,0.56%
11/21/2003,"1,195.30","1,191.95","1,198.75","1,191.95",,0.32%
11/20/2003,"1,191.50","1,182.75","1,191.85","1,181.30",,1.23%
11/19/2003,"1,177.00","1,177.25","1,179.15","1,176.65",,-0.08%
11/18/2003,"1,178.00","1,183.40","1,183.95","1,178.40",,-0.34%
11/17/2003,"1,182.00","1,171.15","1,183.70","1,171.15",,0.92%
11/14/2003,"1,171.20","1,172.00","1,172.60","1,170.60",,0.02%
11/13/2003,"1,171.00","1,172.00","1,175.60","1,170.50",,-0.15%
11/12/2003,"1,172.80","1,176.75","1,177.20","1,172.85",,-0.40%
11/11/2003,"1,177.50","1,172.15","1,178.35","1,171.30",,0.30%
11/10/2003,"1,174.00","1,177.60","1,178.60","1,172.85",,-0.42%
11/07/2003,"1,179.00","1,181.00","1,181.75","1,178.05",,-0.16%
11/06/2003,"1,180.90","1,184.00","1,184.00","1,180.80",,-0.35%
11/05/2003,"1,185.00","1,184.00","1,186.50","1,182.15",,0.00%
11/04/2003,"1,185.00","1,188.15","1,188.50","1,184.65",,-0.34%
11/03/2003,"1,189.00","1,184.00","1,188.50","1,184.00",,0.51%
10/31/2003,"1,183.00","1,179.00","1,185.00","1,177.90",,0.42%
10/30/2003,"1,178.00","1,178.50","1,180.20","1,175.95",,0.08%
10/29/2003,"1,177.00","1,186.95","1,186.95","1,177.45",,-0.93%
10/28/2003,"1,188.00","1,183.00","1,188.50","1,182.15",,0.51%
10/27/2003,"1,182.00","1,185.00","1,186.10","1,182.45",,-0.25%
10/24/2003,"1,185.00","1,188.50","1,189.00","1,183.65",,-0.34%
10/23/2003,"1,189.00","1,179.25","1,189.50","1,176.55",,0.93%
10/22/2003,"1,178.00","1,182.00","1,185.45","1,178.00",,-0.32%
10/21/2003,"1,181.80","1,181.50","1,182.85","1,177.90",,0.15%
10/20/2003,"1,180.00","1,176.50","1,181.50","1,172.65",,0.25%
10/17/2003,"1,177.00","1,175.00","1,178.55","1,172.15",,0.43%
10/16/2003,"1,172.00","1,173.00","1,184.10","1,172.00",,0.14%
10/15/2003,"1,170.40","1,172.75","1,175.15","1,166.05",,-0.31%
10/14/2003,"1,174.00","1,149.10","1,175.00","1,149.10",,2.35%
10/13/2003,"1,147.00","1,146.50","1,148.90","1,144.85",,0.17%
10/10/2003,"1,145.00","1,148.85","1,149.80","1,145.50",,-0.31%
10/09/2003,"1,148.60","1,149.75","1,150.80","1,148.30",,-0.10%
10/08/2003,"1,149.80","1,150.00","1,150.65","1,147.35",,0.07%
10/07/2003,"1,149.00","1,150.75","1,153.10","1,148.50",,-0.21%
10/06/2003,"1,151.40","1,149.85","1,153.80","1,149.70",,0.47%
10/03/2003,"1,146.00","1,148.00","1,148.00","1,146.50",,-0.09%
10/02/2003,"1,147.00","1,151.20","1,151.45","1,148.50",,-0.41%
10/01/2003,"1,151.70","1,151.20","1,154.75","1,150.55",,0.32%
09/30/2003,"1,148.00","1,150.50","1,152.25","1,149.00",,0.09%
09/29/2003,"1,147.00","1,150.25","1,151.70","1,148.45",,-0.09%
09/26/2003,"1,148.00","1,151.50","1,152.20","1,149.00",,-0.26%
09/25/2003,"1,151.00","1,150.50","1,151.95","1,150.25",,0.05%
09/24/2003,"1,150.40","1,152.25","1,154.75","1,150.25",,-0.23%
09/23/2003,"1,153.00","1,149.95","1,153.50","1,149.50",,0.52%
09/22/2003,"1,147.00","1,164.25","1,164.25","1,148.50",,-1.55%
09/19/2003,"1,165.00","1,169.00","1,170.45","1,165.00",,-0.17%
09/18/2003,"1,167.00","1,171.05","1,171.55","1,168.40",,-0.26%
09/17/2003,"1,170.00","1,169.50","1,171.90","1,169.00",,0.09%
09/16/2003,"1,169.00","1,173.00","1,173.35","1,169.00",,-0.17%
09/15/2003,"1,171.00","1,172.50","1,173.95","1,171.55",,0.09%
09/12/2003,"1,170.00","1,174.00","1,174.00","1,174.00",,0.00%
09/11/2003,"1,170.00","1,170.00","1,172.00","1,170.00",,0.26%
09/10/2003,"1,167.00","1,168.50","1,168.50","1,168.50",,-0.26%
09/09/2003,"1,170.00","1,172.15","1,172.15","1,168.25",,0.09%
09/08/2003,"1,169.00","1,171.35","1,174.25","1,170.00",,-0.09%
09/05/2003,"1,170.00","1,174.45","1,174.65","1,170.25",,-0.43%
09/04/2003,"1,175.00","1,173.75","1,177.25","1,170.75",,0.09%
09/03/2003,"1,174.00","1,176.00","1,179.25","1,173.60",,-0.34%
09/02/2003,"1,178.00","1,175.30","1,178.25","1,175.05",,0.23%
09/01/2003,"1,175.30","1,175.25","1,178.30","1,174.75",,0.11%
08/29/2003,"1,174.00","1,178.50","1,180.65","1,174.50",,-0.34%
08/28/2003,"1,178.00","1,177.00","1,182.45","1,175.90",,0.00%
08/27/2003,"1,178.00","1,170.15","1,178.80","1,170.00",,0.77%
08/26/2003,"1,169.00","1,170.75","1,172.50","1,169.45",,-0.09%
08/25/2003,"1,170.00","1,167.50","1,172.40","1,166.00",,0.43%
08/22/2003,"1,165.00","1,171.50","1,172.50","1,166.00",,-0.60%
08/21/2003,"1,172.00","1,174.80","1,175.45","1,171.50",,-0.30%
08/20/2003,"1,175.50","1,177.50","1,179.00","1,175.30",,-0.21%
08/19/2003,"1,178.00","1,178.75","1,180.80","1,176.60",,0.00%
08/18/2003,"1,178.00","1,178.10","1,179.50","1,174.00",,0.08%
08/15/2003,"1,177.00","1,178.00","1,178.50","1,176.00",,-0.08%
08/14/2003,"1,178.00","1,180.20","1,181.50","1,176.55",,-0.08%
08/13/2003,"1,179.00","1,178.00","1,181.40","1,177.10",,0.08%
08/12/2003,"1,178.00","1,179.00","1,180.00","1,177.85",,0.00%
08/11/2003,"1,178.00","1,180.00","1,182.00","1,178.40",,-0.25%
08/08/2003,"1,181.00","1,183.00","1,185.20","1,180.40",,-0.33%
08/07/2003,"1,184.90","1,186.50","1,187.20","1,184.35",,-0.09%
08/06/2003,"1,186.00","1,186.25","1,188.85","1,183.80",,0.00%
08/05/2003,"1,186.00","1,183.25","1,189.15","1,181.15",,0.17%
08/04/2003,"1,184.00","1,181.50","1,185.00","1,178.75",,0.08%
08/01/2003,"1,183.00","1,180.25","1,184.50","1,177.80",,0.25%
07/31/2003,"1,180.00","1,180.00","1,183.60","1,178.30",,0.02%
07/30/2003,"1,179.80","1,178.35","1,183.10","1,178.35",,0.11%
07/29/2003,"1,178.50","1,182.50","1,182.90","1,178.25",,-0.38%
07/28/2003,"1,183.00","1,179.60","1,184.00","1,178.35",,0.25%
07/25/2003,"1,180.10","1,179.90","1,182.55","1,179.70",,0.04%
07/24/2003,"1,179.60","1,180.55","1,181.55","1,178.75",,-0.10%
07/23/2003,"1,180.80","1,183.45","1,184.00","1,179.45",,-0.17%
07/22/2003,"1,182.80","1,179.30","1,185.50","1,177.55",,0.37%
07/21/2003,"1,178.40","1,182.50","1,183.20","1,178.20",,-0.47%
07/18/2003,"1,184.00","1,180.00","1,185.15","1,179.00",,0.51%
07/17/2003,"1,178.00","1,180.00","1,180.00","1,180.00",,0.00%
07/16/2003,"1,178.00","1,180.10","1,183.85","1,176.35",,0.08%
07/15/2003,"1,177.00","1,176.55","1,178.55","1,174.65",,0.09%
07/14/2003,"1,176.00","1,178.75","1,179.15","1,176.10",,-0.08%
07/11/2003,"1,177.00","1,179.25","1,179.85","1,177.60",,0.00%
07/10/2003,"1,177.00","1,178.00","1,180.10","1,176.30",,-0.17%
07/09/2003,"1,179.00","1,180.15","1,181.75","1,178.30",,-0.09%
07/08/2003,"1,180.10","1,181.05","1,183.75","1,177.10",,-0.15%
07/07/2003,"1,181.90","1,179.50","1,184.15","1,175.65",,0.16%
07/04/2003,"1,180.00","1,182.35","1,185.25","1,180.10",,-0.29%
07/03/2003,"1,183.40","1,184.60","1,187.50","1,180.25",,-0.31%
07/02/2003,"1,187.10","1,189.50","1,190.60","1,186.65",,-0.24%
07/01/2003,"1,190.00","1,193.55","1,194.10","1,189.90",,-0.34%
06/30/2003,"1,194.00","1,194.00","1,197.45","1,192.15",,0.08%
06/27/2003,"1,193.00","1,190.95","1,197.60","1,187.95",,0.55%
06/26/2003,"1,186.50","1,187.25","1,189.55","1,184.30",,-0.21%
06/25/2003,"1,189.00","1,191.00","1,192.20","1,187.05",,-0.25%
06/24/2003,"1,192.00","1,191.65","1,193.00","1,188.20",,0.15%
06/23/2003,"1,190.20","1,190.05","1,192.35","1,189.45",,-0.03%
06/20/2003,"1,190.50","1,196.00","1,196.90","1,186.50",,-0.54%
06/19/2003,"1,197.00","1,185.10","1,199.50","1,181.70",,1.01%
06/18/2003,"1,185.00","1,184.50","1,186.50","1,183.30",,0.17%
06/17/2003,"1,183.00","1,189.65","1,191.45","1,183.00",,-0.60%
06/16/2003,"1,190.10","1,191.25","1,192.75","1,189.05",,-0.15%
06/13/2003,"1,191.90","1,193.45","1,195.90","1,191.55",,-0.11%
06/12/2003,"1,193.20","1,194.20","1,197.45","1,192.60",,-0.17%
06/11/2003,"1,195.20","1,193.75","1,197.20","1,190.60",,0.08%
06/10/2003,"1,194.20","1,197.10","1,198.25","1,191.15",,-0.07%
06/09/2003,"1,195.00","1,201.15","1,203.25","1,195.85",,-0.43%
06/06/2003,"1,200.20","1,200.30","1,200.30","1,200.30",,0.00%
06/05/2003,"1,200.20","1,199.50","1,202.40","1,199.00",,0.10%
06/04/2003,"1,199.00","1,202.55","1,204.55","1,198.05",,-0.33%
06/03/2003,"1,203.00","1,202.50","1,204.20","1,200.65",,0.08%
06/02/2003,"1,202.00","1,208.50","1,209.50","1,202.50",,-0.50%
05/30/2003,"1,208.00","1,206.55","1,211.00","1,202.90",,0.08%
05/29/2003,"1,207.00","1,202.25","1,209.20","1,202.25",,0.55%
05/28/2003,"1,200.40","1,198.45","1,202.40","1,198.45",,0.18%
05/27/2003,"1,198.20","1,197.10","1,202.35","1,195.90",,-0.05%
05/26/2003,"1,198.80","1,190.70","1,201.25","1,188.50",,0.40%
05/23/2003,"1,194.00","1,193.20","1,196.20","1,190.85",,-0.10%
05/22/2003,"1,195.20","1,195.65","1,199.25","1,194.65",,0.08%
05/21/2003,"1,194.20","1,197.50","1,198.60","1,192.30",,-0.48%
05/20/2003,"1,200.00","1,198.50","1,204.00","1,194.50",,0.84%
05/19/2003,"1,190.00","1,196.95","1,198.20","1,190.80",,-0.82%
05/16/2003,"1,199.80","1,195.70","1,200.75","1,195.60",,0.31%
05/15/2003,"1,196.10","1,196.50","1,198.85","1,192.50",,0.09%
05/14/2003,"1,195.00","1,199.25","1,204.00","1,197.00",,-0.33%
05/13/2003,"1,199.00","1,194.55","1,204.15","1,193.50",,0.67%
05/12/2003,"1,191.00","1,201.50","1,201.50","1,191.50",,-0.83%
05/09/2003,"1,201.00","1,199.00","1,202.75","1,197.40",,0.33%
05/08/2003,"1,197.00","1,197.50","1,198.70","1,196.50",,-0.13%
05/07/2003,"1,198.60","1,197.50","1,200.25","1,191.25",,-0.03%
05/06/2003,"1,199.00","1,213.00","1,213.00","1,200.00",,-1.32%
05/05/2003,"1,215.00","1,214.00","1,216.00","1,214.00",,0.25%
05/02/2003,"1,212.00","1,211.75","1,214.75","1,207.35",,0.00%
05/01/2003,"1,212.00","1,212.75","1,213.75","1,211.50",,-0.12%
04/30/2003,"1,213.50","1,215.50","1,217.40","1,211.00",,-0.04%
04/29/2003,"1,214.00","1,220.25","1,220.25","1,210.50",,-0.53%
04/28/2003,"1,220.50","1,237.00","1,238.70","1,220.45",,-1.33%
04/25/2003,"1,237.00","1,228.00","1,239.40","1,227.00",,1.36%
04/24/2003,"1,220.40","1,221.00","1,224.30","1,216.15",,0.03%
04/23/2003,"1,220.00","1,217.00","1,223.90","1,215.95",,0.25%
04/22/2003,"1,217.00","1,209.25","1,225.00","1,209.25",,0.83%
04/21/2003,"1,207.00","1,204.00","1,209.25","1,202.80",,0.27%
04/18/2003,"1,203.80","1,205.75","1,207.50","1,203.05",,-0.10%
04/17/2003,"1,205.00","1,212.00","1,213.55","1,205.60",,-0.58%
04/16/2003,"1,212.00","1,218.50","1,219.60","1,212.35",,-0.49%
04/15/2003,"1,218.00","1,221.50","1,223.20","1,214.80",,-0.41%
04/14/2003,"1,223.00","1,228.80","1,230.50","1,220.75",,-0.53%
04/11/2003,"1,229.50","1,234.00","1,238.15","1,221.55",,0.00%
04/10/2003,"1,229.50","1,244.00","1,245.25","1,237.00",,-1.17%
04/09/2003,"1,244.00","1,254.00","1,256.95","1,245.00",,-0.72%
04/08/2003,"1,253.00","1,256.00","1,257.50","1,252.50",,-0.35%
04/07/2003,"1,257.40","1,257.50","1,258.75","1,253.60",,-0.04%
04/04/2003,"1,257.90","1,255.00","1,259.50","1,255.00",,0.31%
04/03/2003,"1,254.00","1,253.70","1,256.75","1,251.35",,0.00%
04/02/2003,"1,254.00","1,257.00","1,259.50","1,248.65",,-0.16%
04/01/2003,"1,256.00","1,251.00","1,259.85","1,249.95",,0.48%
03/31/2003,"1,250.00","1,259.00","1,261.25","1,251.00",,-0.64%
03/28/2003,"1,258.00","1,247.00","1,259.00","1,247.00",,0.89%
03/27/2003,"1,246.90","1,242.70","1,247.60","1,241.25",,0.23%
03/26/2003,"1,244.00","1,249.00","1,250.50","1,238.90",,-0.40%
03/25/2003,"1,249.00","1,251.00","1,253.60","1,242.30",,-0.08%
03/24/2003,"1,250.00","1,252.00","1,254.60","1,247.60",,-0.16%
03/21/2003,"1,252.00","1,247.50","1,253.70","1,245.00",,0.64%
03/20/2003,"1,244.00","1,258.50","1,264.15","1,243.00",,-0.96%
03/19/2003,"1,256.00","1,251.40","1,260.90","1,248.75",,0.44%
03/18/2003,"1,250.50","1,248.65","1,254.35","1,245.50",,0.40%
03/17/2003,"1,245.50","1,238.75","1,248.80","1,235.60",,0.35%
03/14/2003,"1,241.20","1,240.40","1,245.50","1,235.50",,0.06%
03/13/2003,"1,240.50","1,247.50","1,254.75","1,236.25",,-0.17%
03/12/2003,"1,242.60","1,228.40","1,245.00","1,228.00",,1.73%
03/11/2003,"1,221.50","1,240.00","1,241.35","1,220.65",,-1.49%
03/10/2003,"1,240.00","1,221.50","1,242.00","1,220.00",,1.76%
03/07/2003,"1,218.60","1,217.00","1,223.00","1,215.20",,0.30%
03/06/2003,"1,215.00","1,199.70","1,216.50","1,199.70",,1.33%
03/05/2003,"1,199.10","1,193.00","1,199.60","1,189.75",,0.51%
03/04/2003,"1,193.00","1,187.55","1,196.00","1,186.30",,0.88%
03/03/2003,"1,182.60","1,193.85","1,197.40","1,183.60",,-0.92%
02/28/2003,"1,193.60","1,186.50","1,194.05","1,186.50",,1.07%
02/27/2003,"1,181.00","1,185.50","1,189.70","1,183.00",,-0.17%
02/26/2003,"1,183.00","1,187.50","1,190.85","1,182.50",,-0.34%
02/25/2003,"1,187.00","1,190.75","1,196.25","1,177.50",,0.08%
02/24/2003,"1,186.00","1,192.50","1,195.55","1,185.10",,-0.25%
02/21/2003,"1,189.00","1,190.70","1,197.85","1,190.05",,0.13%
02/20/2003,"1,187.40","1,197.50","1,199.00","1,189.40",,-0.80%
02/19/2003,"1,197.00","1,196.50","1,203.00","1,191.00",,0.25%
02/18/2003,"1,194.00","1,204.00","1,207.15","1,196.15",,-1.08%
02/17/2003,"1,207.00","1,200.25","1,210.30","1,199.75",,1.13%
02/14/2003,"1,193.50","1,200.75","1,204.25","1,195.00",,-0.73%
02/13/2003,"1,202.30","1,197.50","1,207.35","1,196.75",,0.86%
02/12/2003,"1,192.00","1,204.50","1,207.25","1,195.20",,-0.83%
02/11/2003,"1,202.00","1,199.30","1,214.60","1,198.30",,0.54%
02/10/2003,"1,195.50","1,186.75","1,196.40","1,186.25",,0.99%
02/07/2003,"1,183.80","1,173.50","1,185.25","1,173.50",,1.18%
02/06/2003,"1,170.00","1,174.65","1,178.95","1,171.50",,-0.36%
02/05/2003,"1,174.20","1,174.50","1,176.50","1,172.90",,0.27%
